,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,,ppc,argB,argC,argE,argH,proC,icd,nadC,panB,panD,serC,cysC,cysE,cysH,glnA,serA,hisB,hisC,hisD,hisI,metA,guaA,guaB,purA,purC,purD,purF,purL,purM,pyrB,pyrC,pyrD,pyrE,pyrF,lysA,tyrA,trpA,trpB,trpC,trpD,trpE,ilvC,ilvE,leuB,leuD,leuC,Negative,Positive
25,purC,96064000,91008000,80896000,91008000,85952000,80896000,101120000,80896000,75840000,75840000,80896000,80896000,96064000,91008000,85952000,80896000,80896000,80896000,75840000,75840000,75840000,106180000,116290000,85952000,111230000,96064000,91008000,96064000,85952000,91008000,91008000,91008000,91008000,85952000,106180000,85952000,116290000,111230000,141570000,252800000,257860000,96064000,106180000,101120000,101120000,101120000,85952000,859520000
26,purD,80896000,80896000,80896000,80896000,75840000,80896000,70784000,70784000,96064000,85952000,80896000,131460000,85952000,75840000,70784000,70784000,60672000,70784000,65728000,75840000,85952000,96064000,106180000,121340000,70784000,80896000,75840000,80896000,75840000,80896000,70784000,85952000,85952000,80896000,91008000,131460000,111230000,96064000,151680000,303360000,353920000,91008000,101120000,101120000,80896000,91008000,80896000,905020000
27,purF,96064000,80896000,80896000,91008000,75840000,70784000,96064000,70784000,151680000,166850000,70784000,85952000,91008000,70784000,75840000,85952000,80896000,75840000,85952000,75840000,75840000,96064000,101120000,80896000,101120000,75840000,75840000,85952000,85952000,75840000,80896000,80896000,91008000,85952000,70784000,91008000,126400000,91008000,146620000,283140000,313470000,91008000,96064000,85952000,91008000,101120000,91008000,879740000
28,purL,80896000,85952000,70784000,75840000,75840000,75840000,80896000,80896000,96064000,85952000,85952000,126400000,75840000,80896000,60672000,65728000,75840000,70784000,70784000,70784000,65728000,91008000,96064000,106180000,70784000,80896000,65728000,75840000,75840000,80896000,75840000,75840000,111230000,80896000,75840000,121340000,111230000,96064000,151680000,323580000,369090000,80896000,96064000,80896000,85952000,96064000,70784000,874690000
29,purM,101120000,60672000,85952000,80896000,80896000,65728000,75840000,65728000,80896000,85952000,75840000,85952000,91008000,65728000,70784000,70784000,75840000,70784000,65728000,65728000,80896000,91008000,96064000,75840000,111230000,65728000,80896000,75840000,75840000,70784000,70784000,70784000,85952000,80896000,85952000,91008000,126400000,85952000,136510000,273020000,308420000,85952000,80896000,85952000,91008000,91008000,75840000,930300000
30,pyrB,80896000,80896000,80896000,75840000,75840000,80896000,101120000,65728000,75840000,75840000,65728000,116290000,80896000,75840000,70784000,60672000,75840000,70784000,85952000,75840000,65728000,85952000,91008000,96064000,65728000,75840000,70784000,70784000,70784000,70784000,75840000,70784000,75840000,70784000,85952000,111230000,101120000,91008000,116290000,313470000,262910000,80896000,91008000,75840000,85952000,91008000,75840000,889860000
31,pyrC,106180000,75840000,70784000,91008000,70784000,70784000,85952000,75840000,85952000,75840000,70784000,85952000,106180000,85952000,65728000,70784000,85952000,75840000,75840000,85952000,75840000,106180000,96064000,70784000,101120000,70784000,70784000,70784000,75840000,75840000,60672000,80896000,80896000,96064000,70784000,91008000,126400000,75840000,146620000,257860000,242690000,80896000,85952000,85952000,106180000,101120000,70784000,834240000
32,pyrD,91008000,96064000,96064000,96064000,75840000,85952000,91008000,91008000,91008000,75840000,85952000,126400000,106180000,101120000,80896000,91008000,80896000,91008000,91008000,91008000,96064000,101120000,106180000,106180000,85952000,85952000,85952000,85952000,85952000,85952000,80896000,80896000,131460000,116290000,116290000,126400000,106180000,116290000,192130000,353920000,343810000,101120000,111230000,106180000,111230000,106180000,91008000,859520000
33,pyrE,116290000,111230000,101120000,96064000,96064000,91008000,106180000,85952000,80896000,80896000,91008000,101120000,136510000,121340000,96064000,111230000,111230000,111230000,106180000,111230000,106180000,111230000,111230000,80896000,116290000,121340000,96064000,136510000,131460000,116290000,121340000,121340000,91008000,85952000,136510000,116290000,121340000,96064000,171900000,308420000,308420000,96064000,116290000,91008000,96064000,106180000,75840000,829180000
34,pyrF,91008000,80896000,91008000,96064000,80896000,101120000,101120000,85952000,91008000,80896000,91008000,146620000,116290000,106180000,85952000,80896000,85952000,96064000,91008000,116290000,75840000,101120000,106180000,121340000,121340000,106180000,96064000,126400000,116290000,121340000,101120000,121340000,121340000,91008000,121340000,116290000,126400000,80896000,136510000,313470000,288190000,80896000,91008000,80896000,85952000,85952000,70784000,874690000
