,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
26,0,10112000,0,30334000,20224000,672444000,45506000,-5056000,5056000,10112000,5056000,15160000,10112000,40450000,5056000,5056000,20224000,25280000,40452000,5056000,50558000,20226000,15160000,10120000,5056000,-5056000,-10112000,-10112000,-5056000,-10112000,20224000,30338000,75838000,75844000,161792000,91000000,217410000,45506000,308420000,637060000,611780000,5056000,788740000,-10112000,5056000,0,-5056000,586480000
27,45506000,20224000,15168000,15172000,35390000,116286000,25276000,-10112000,652220000,475260000,5056000,0,5056000,5056000,-5056000,5056000,10112000,20224000,25278000,10112000,45500000,10116000,10110000,40444000,-5056000,-15168000,-15168000,-15168000,-15168000,0,10112000,15168000,50562000,40448000,55616000,60672000,106180000,30332000,207300000,712890000,642110000,5056000,505596000,20228000,25282000,10110000,5056000,455060000
28,0,10112000,20224000,45500000,20224000,591550000,40444000,-10112000,40446000,30338000,0,20220000,0,20224000,5056000,0,5056000,25280000,20224000,10112000,80892000,30332000,25276000,25280000,5056000,-20224000,-5056000,-15168000,10112000,-10112000,0,10112000,70790000,96064000,171900000,96070000,273030000,35396000,303360000,571330000,571330000,25284000,596606000,-5056000,5056000,10116000,-10112000,404510000
29,20220000,25280000,5056000,45504000,30334000,156732000,45500000,-5056000,25284000,15168000,-5056000,5056000,15172000,20224000,15168000,5056000,5056000,50556000,45502000,15168000,75844000,25282000,20226000,15168000,0,-5056000,-5056000,-15168000,-20224000,-10112000,5056000,5056000,80898000,55614000,151678000,60672000,96060000,45508000,232580000,652230000,571320000,10112000,480324000,15168000,0,40452000,5056000,384300000
30,5056000,121344000,571324000,80900000,45500000,156734000,510660000,60672000,0,0,0,40450000,15168000,70780000,-15168000,30336000,30340000,50556000,45508000,60670000,20224000,35388000,20222000,25276000,45502000,0,-10112000,-15168000,-5056000,0,10112000,60676000,65730000,288196000,247748000,131460000,136510000,15172000,455040000,364030000,485380000,5056000,925292000,5056000,0,5056000,-5056000,530840000
31,5050000,131460000,207296000,283132000,50556000,146626000,0,15168000,15168000,15168000,0,50558000,15160000,65728000,10112000,15168000,10112000,25280000,30340000,30338000,20224000,20220000,30336000,10112000,45500000,10112000,-10112000,0,-5056000,0,-5056000,10112000,55614000,30336000,121346000,126402000,480320000,35390000,455040000,601660000,444930000,0,874688000,20228000,-5060000,15170000,-5056000,495460000
32,10112000,171906000,197186000,384256000,40450000,227518000,20222000,45502000,25282000,25280000,0,50560000,40440000,116290000,40444000,45502000,40444000,40452000,60672000,65732000,40446000,40450000,40440000,10110000,35388000,35388000,20228000,35388000,25278000,75838000,55614000,25284000,45500000,60670000,131450000,192130000,647160000,35390000,449980000,546050000,404480000,25280000,1233670000,20220000,15170000,35390000,45502000,470180000
33,45500000,227520000,353920000,328636000,70786000,369092000,121340000,20228000,60674000,80894000,65732000,161790000,60670000,136520000,55616000,30340000,45510000,70790000,45500000,252800000,55610000,25280000,10110000,55614000,65730000,40450000,40446000,106180000,60670000,101120000,30340000,60680000,30332000,35388000,257860000,854460000,682560000,60676000,358980000,460090000,505600000,55616000,874690000,55612000,55616000,85950000,-15168000,505620000
34,70782000,227524000,308412000,348866000,80894000,283140000,80900000,10112000,45502000,70784000,50562000,70790000,75840000,151680000,45508000,65724000,50558000,60676000,50562000,217410000,80900000,15170000,10110000,5060000,91010000,55610000,30336000,141570000,55610000,146630000,35390000,60680000,-20220000,20222000,515720000,106170000,687620000,70784000,444930000,429760000,470210000,50564000,894912000,45504000,35388000,91008000,20224000,429710000
35,465150000,844360000,839300000,991010000,1016280000,925292000,470200000,920200000,1112300000,1264030000,80900000,955570000,96070000,1046630000,106172000,227520000,40450000,85950000,323586000,242690000,930270000,121340000,25278000,91006000,55620000,126400000,30332000,166850000,91010000,197180000,70780000,166850000,257860000,465160000,25280000,824120000,409530000,227520000,702790000,616840000,606720000,955592000,1142630000,267964000,232576000,252800000,35392000,444940000
