Reaction ID,Reaction name,Reaction equation,EC number,Enzyme molar mass [g/mol],Turnover number (kcat) [1/s]
DTMPtex_f,DTMP transport via diffusion (extracellular to periplasm),dtmp_e  -> dtmp_p ,,39959.4825,100000000
GMPtex_f,GMP transport via diffusion (extracellular to periplasm),gmp_e  -> gmp_p ,,39959.4825,100000000
IMPtex_f,IMP transport via diffusion (extracellular to periplasm),imp_e  -> imp_p ,,39959.4825,100000000
UMPtex_f,UMP transport via diffusion (extracellular to periplasm),ump_e  -> ump_p ,,39959.4825,100000000
G1Ptex_f,D-glucose 1-phosphate transport via diffusion,g1p_e  -> g1p_p ,,39959.4825,100000000
ADNK1,Adenosine kinase,atp_c + adn_c  -> h_c + adp_c + amp_c ,2.7.4.3,23585.280000000002,879
CUt3,Copper transport out via proton antiport,h_e + cu_c  -> h_c + cu_e ,,221472.41000000003,22
ZN2t3pp,Zinc (Zn+2) transport out via proton antiport (periplasm),h_p + zn2_c  -> h_c + zn2_p ,,33801.954999999994,22
SKMtex_f,Shikimate transport via diffusion (extracellular to periplasm),skm_e  -> skm_p ,,39959.4825,100000000
MNt2pp,Manganese (Mn+2) transport in via proton symport (periplasm),h_p + mn2_p  -> h_c + mn2_c ,,44192.630000000005,22
MNtex_f,Manganese (Mn+2) transport via diffusion (extracellular to periplasm),mn2_e  -> mn2_p ,,39959.4825,100000000
GAL1Ptex_f,D-galactose 1-phosphate transport via diffusion (extracellular to periplasm),gal1p_e  -> gal1p_p ,,39959.4825,100000000
O2Stex_f,Superoxide anion transport via diffusion (extracellular to periplasm),o2s_e  -> o2s_p ,,39959.4825,100000000
HEPK1,LPS heptose kinase I (LPS core synthesis),hhlipa_c + atp_c  -> h_c + phhlipa_c + adp_c ,2.7.1.-,30871.4,14.804833333333335
HEPT3,Heptosyltransferase III (LPS core synthesis),adphep_LD_c + phhlipa_c  -> h_c + hphhlipa_c + adp_c ,2.-.-.-,38729.56,79.47949376339285
HEPK2,LPS heptose kinase II (LPS core synthesis),hphhlipa_c + atp_c  -> h_c + phphhlipa_c + adp_c ,2.7.1.-,27460.090000000004,14.804833333333335
ALDD3y,"Aldehyde dehydrogenase (propanal, NADP)",nadp_c + h2o_c + ppal_c  -> 2 h_c + ppa_c + nadph_c ,1.1.1.2,44967.11666666667,45.1
R5PP,Ribose 5-phosphate phosphatase,r5p_c + h2o_c  -> rib__D_c + pi_c ,3.1.3.5,26216.124,9.84
CYSSADS,L-cysteine sulfinic acid desulfurase,2 h_c + 3sala_c  -> ala__L_c + so2_c ,2.8.1.7,43832.744999999995,3.3
CPPPGO2,Oxygen Independent coproporphyrinogen-III oxidase,2 amet_c + cpppg3_c  -> 2 met__L_c + 2 dad_5_c + pppg9_c + 2 co2_c ,1.3.98.3,52727.520000000004,900
AGM3PH,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide beta -1,4-N-acetylglucosaminidase",anhgm3p_c + h2o_c  -> anhm3p_c + acgam_c ,3.2.1.52,37593.57,185.2
HOMt2pp,L-homoserineserine efflux via proton symport,h_p + hom__L_c  -> h_c + hom__L_p ,,26797.005000000005,22
HOMtex_f,L-homoserine transport via diffusion (extracellular to periplasm),hom__L_e  -> hom__L_p ,,39959.4825,100000000
SO2tex_f,SO2 transport via diffusion (extracellular to periplasm),so2_e  -> so2_p ,,39959.4825,100000000
LDH_D2,D-lactate dehydrogenase,q8_c + lac__D_c  -> q8h2_c + pyr_c ,1.1.5.12,64610.30000000001,3011
SHCHF,Sirohydrochlorin ferrochelatase,fe2_c + scl_c  -> 3 h_c + sheme_c ,4.99.1.4,49950,0.033999999999999996
SUCBZL,O-succinylbenzoate-CoA ligase,sucbz_c + atp_c + coa_c  -> sbzcoa_c + ppi_c + amp_c ,6.2.1.26,50183.28999999999,2.62
CYSDDS,D-cysteine desulfhydrase,cys__D_c + h2o_c  -> h2s_c + nh4_c + pyr_c ,4.4.1.15,35152.36,72
CYStpp,L-cysteine export via facilitated transport,cys__L_c  -> cys__L_p ,,26785.61,22
ACSERtpp,O-Acetyl-L-serine export via facilitated transport,acser_c  -> acser_p ,,26785.61,22
ACSERtex_f,O-Acetyl-L-serine transport via diffusion (extracellular to periplasm),acser_e  -> acser_p ,,39959.4825,100000000
NTP10,Nucleoside-triphosphatase (ITP),h2o_c + itp_c  -> h_c + pi_c + idp_c ,3.6.1.-,28702.090000000004,226.6424
PRAIS,Phosphoribosylaminoimidazole synthase,fpram_c + atp_c  -> 2 h_c + adp_c + air_c + pi_c ,6.3.3.1,36852.93,1.08
GDMANE,GDP-4-dehydro-6-deoxy-D-mannose epimerase,gdpddman_c  -> gdpofuc_c ,1.1.1.271,36140.07,0.75
GPDDA4,Glycerophosphodiester phosphodiesterase (Glycerophosphoglycerol),g3pg_c + h2o_c  -> h_c + glyc3p_c + glyc_c ,3.1.4.46,27408.809999999998,3.3
LPLIPAL2E140,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C14:0)",2agpe140_c + h2o_c  -> h_c + ttdca_c + g3pe_c ,3.1.1.5,38977.05,1016
LPLIPAL2E180,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C18:0)",h2o_c + 2agpe180_c  -> h_c + ocdca_c + g3pe_c ,3.1.1.5,38977.05,1016
LPLIPAL2G161,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C16:1)",h2o_c + 2agpg161_c  -> h_c + hdcea_c + g3pg_c ,3.1.1.5,38977.05,1016
LPLIPAL2G181,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C18:1)",2agpg181_c + h2o_c  -> h_c + g3pg_c + ocdcea_c ,3.1.1.5,38977.05,1016
2AGPE120tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0) transporter via facilitated diffusion (periplasm),2agpe120_p  -> 2agpe120_c ,,41654.65000000001,100000000
AACPS6,Acyl-[acyl-carrier-protein] synthetase  (n-C18:0),ocdca_c + atp_c + ACP_c  -> ppi_c + ocdcaACP_c + amp_c ,6.2.1.20,89318.79,21.94
AACPS7,Acyl-[acyl-carrier-protein] synthetase  (n-C12:0),atp_c + ddca_c + ACP_c  -> ppi_c + ddcaACP_c + amp_c ,6.2.1.20,89318.79,21.94
G3PGabcpp,Sn-glycerol-3-phosphoglycerol transport via ABC system (periplasm),atp_c + h2o_c + g3pg_p  -> h_c + g3pg_c + adp_c + pi_c ,3.6.3.20,152677.46000000002,95.19583333333334
G3PIabcpp,Sn-glycerol-3-phosphoethanolamine transport via ABC system (periplasm),atp_c + h2o_c + g3pi_p  -> h_c + adp_c + pi_c + g3pi_c ,3.6.3.20,152677.46000000002,95.19583333333334
G3PSabcpp,Sn-glycerol-3-phosphoserine transport via ABC system (periplasm),atp_c + h2o_c + g3ps_p  -> h_c + g3ps_c + adp_c + pi_c ,3.6.3.20,152677.46000000002,95.19583333333334
QMO2,Quinol monooxygenase (Ubiquinol-8),2 o2_c + q8h2_c  -> 2 h_c + 2 o2s_c + q8_c ,1.-.-.-,11532.1,69.50713596491228
QMO3,Quinol monooxygenase (menaquinol 8),2 o2_c + mql8_c  -> 2 h_c + 2 o2s_c + mqn8_c ,1.-.-.-,11532.1,69.50713596491228
LPLIPAL2E141,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C14:1)",h2o_c + 2agpe141_c  -> h_c + g3pe_c + ttdcea_c ,3.1.1.5,38977.05,1016
LPLIPAL2E161,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C16:1)",h2o_c + 2agpe161_c  -> h_c + hdcea_c + g3pe_c ,3.1.1.5,38977.05,1016
LPLIPAL2E181,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C18:1)",h2o_c + 2agpe181_c  -> h_c + ocdcea_c + g3pe_c ,3.1.1.5,38977.05,1016
LPLIPAL2G180,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C18:0)",2agpg180_c + h2o_c  -> h_c + g3pg_c + ocdca_c ,3.1.1.5,38977.05,1016
LPLIPAL2G141,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C14:1)",h2o_c + 2agpg141_c  -> h_c + g3pg_c + ttdcea_c ,3.1.1.5,38977.05,1016
2AGPA120tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C12:0) transporter via facilitated diffusion (periplasm),2ddecg3p_p  -> 2ddecg3p_c ,,41654.65000000001,100000000
2AGPG180tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0) transporter via facilitated diffusion (periplasm),2agpg180_p  -> 2agpg180_c ,,41654.65000000001,100000000
IPDDI_f,Isopentenyl-diphosphate D-isomerase,ipdp_c  -> dmpp_c ,5.3.3.2,20507.640000000003,4.8062499999999995
2AGPGAT180,2-acyl-glycerophospho-glycerol acyltransferase (n-C18:0),ocdca_c + 2agpg180_c + atp_c  -> ppi_c + pg180_c + amp_c ,6.2.1.20,80697.55,0.016
2AGPGAT181,2-acyl-glycerophospho-glycerol acyltransferase (n-C18:1),ocdcea_c + atp_c + 2agpg181_c  -> ppi_c + pg181_c + amp_c ,6.2.1.20,80697.55,0.016
LPLIPAL2ATG120,"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C12:0)",2agpg120_c + pg120_c  -> g3pg_c + apg120_c ,3.1.1.5,38977.05,1016
PLIPA1E140pp,"Phospholipase A1 (phosphatidylethanolamine, n-C14:0) (periplasm)",pe140_p + h2o_p  -> 2agpe140_p + h_p + ttdca_p ,"3.1.1.32, 3.1.1.4",33162.049999999996,2.48
PLIPA1E160pp,"Phospholipase A1 (phosphatidylethanolamine, n-C16:0) (periplasm)",h2o_p + pe160_p  -> hdca_p + h_p + 2agpe160_p ,3.1.1.32,33162.049999999996,1.1
PLIPA1E161pp,"Phospholipase A1 (phosphatidylethanolamine, n-C16:1) (periplasm)",h2o_p + pe161_p  -> h_p + 2agpe161_p + hdcea_p ,"3.1.1.32, 3.1.1.4",33162.049999999996,2.48
AACPS8,Acyl-[acyl-carrier-protein] synthetase  (n-C10:0),dca_c + atp_c + ACP_c  -> ppi_c + dcaACP_c + amp_c ,6.2.1.20,89318.79,21.94
AACPS9,Acyl-[acyl-carrier-protein] synthetase  (n-C8:0),octa_c + atp_c + ACP_c  -> ocACP_c + ppi_c + amp_c ,6.2.1.20,89318.79,21.94
HXCT,Acetyl-CoA:hexanoate-CoA transferase,accoa_c + hxa_c  -> ac_c + hxcoa_c ,2.8.3.8,46466.54000000001,290
2AGPEAT160,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:0),atp_c + 2agpe160_c + hdca_c  -> ppi_c + pe160_c + amp_c ,2.3.1.40,80697.55,46.809013666666665
DURADx_f,Dihydrouracil dehydrogenase (NAD),nad_c + 56dura_c  -> h_c + ura_c + nadh_c ,1.3.1.1,89377.70000000001,0.65
ECOAH7_f,3-hydroxyacyl-CoA dehydratase (3-hydroxyhexadecanoyl-CoA),3hhdcoa_c  -> h2o_c + hdd2coa_c ,"1.1.1.35, 4.2.1.17",78330.795,380.5
G1PPpp,Glucose-1-phosphatase,h2o_p + g1p_p  -> glc__D_p + pi_p ,3.1.3.10,47559.33,117
GALCTND,Galactonate dehydratase,galctn__D_c  -> h2o_c + 2dh3dgal_c ,4.2.1.6,42521.659999999996,1.08
GCALDD,Glycolaldehyde dehydrogenase,nad_c + h2o_c + gcald_c  -> 2 h_c + glyclt_c + nadh_c ,1.2.1.21,52271.29000000001,43.65
HISTP,Histidinol-phosphatase,hisp_c + h2o_c  -> pi_c + histd_c ,3.1.3.15,40276.7,1132.5
LDH_D_f,D-lactate dehydrogenase,nad_c + lac__D_c  -> h_c + pyr_c + nadh_c ,1.1.1.28,36533.71,0.07
AMALT4,Amylomaltase (maltohexaose),malt_c + malthx_c  -> glc__D_c + malthp_c ,2.4.1.25,78501.15000000001,1.3
NTD11,5'-nucleotidase (IMP),imp_c + h2o_c  -> pi_c + ins_c ,3.1.3.5,26148.849999999995,104
ORNDC,Ornithine Decarboxylase,h_c + orn_c  -> ptrc_c + co2_c ,4.1.1.17,80913.575,3.4
UPP3MT,Uroporphyrinogen methyltransferase,2 amet_c + uppg3_c  -> h_c + dscl_c + 2 ahcys_c ,2.1.1.107,49950,38
KAS15,Beta-ketoacyl-ACP synthase (2),h_c + accoa_c + malACP_c  -> actACP_c + coa_c + co2_c ,2.3.1.180,33514.15,3.765
ALAALAtex_f,D-alanyl-D-alanine (DalaDala) transport via diffusion (extracellular to periplasm),alaala_e  -> alaala_p ,,39959.4825,100000000
FACOAL181t2pp,Fatty-acid-CoA ligase (octadecenoate transport via vectoral Co-A coupling),ocdcea_p + h_p + atp_c + coa_c  -> h_c + odecoa_c + ppi_c + amp_c ,6.2.1.3,61550.724999999984,0.029
T2DECAI_f,Trans-2-decenoyl-ACP isomerase,tdec2eACP_c  -> cdec3eACP_c ,5.3.3.14,18968.47,15
3OAS161,3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:1),h_c + tdeACP_c + malACP_c  -> 3ocpalm9eACP_c + co2_c + ACP_c ,2.3.1.41,42612.02,0.725
EAR141y,Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C14:1),h_c + t3c7mrseACP_c + nadph_c  -> tdeACP_c + nadp_c ,1.3.1.9,27863.119999999995,5.3
EAR161x,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C16:1),h_c + t3c9palmeACP_c + nadh_c  -> nad_c + hdeACP_c ,1.3.1.9,27863.119999999995,5.3
DASYN160,CDP-diacylglycerol synthetase (n-C16:0),h_c + pa160_c + ctp_c  -> ppi_c + cdpdhdecg_c ,2.7.7.41,31453.04,8.92
DASYN161,CDP-diacylglycerol synthetase (n-C16:1),h_c + ctp_c + pa161_c  -> cdpdhdec9eg_c + ppi_c ,2.7.7.41,31453.04,8.92
DASYN181,CDP-diacylglycerol synthetase (n-C18:1),h_c + pa181_c + ctp_c  -> ppi_c + cdpdodec11eg_c ,2.7.7.41,31453.04,8.92
CDAPPA161,CDP-Diacylglycerol pyrophostatase (n-C16:1),cdpdhdec9eg_c + h2o_c  -> 2 h_c + pa161_c + cmp_c ,3.6.1.26,28449.92,90.13177272727273
PGSA180,Phosphatidylglycerol synthase (n-C18:0),glyc3p_c + cdpdodecg_c  -> h_c + cmp_c + pgp180_c ,2.7.8.5,20700.12,1
PSSA140,Phosphatidylserine syntase (n-C14:0),ser__L_c + cdpdtdecg_c  -> h_c + ps140_c + cmp_c ,2.7.8.8,52800.22,1
2AGPGAT141,2-acyl-glycerophospho-glycerol acyltransferase (n-C14:1),atp_c + 2agpg141_c + ttdcea_c  -> ppi_c + pg141_c + amp_c ,6.2.1.20,80697.55,0.016
FACOAE180,Fatty-acid-CoA thioesterase (octadecanoate),h2o_c + stcoa_c  -> h_c + ocdca_c + coa_c ,3.1.2.-,31965.329999999998,61.375
FACOAE100,Fatty-acid-CoA thioesterase (decanoate),h2o_c + dcacoa_c  -> dca_c + h_c + coa_c ,3.1.2.-,31965.329999999998,17
FACOAE80,Fatty-acid-CoA thioesterase (octanoate),occoa_c + h2o_c  -> h_c + octa_c + coa_c ,3.1.2.-,31965.329999999998,159
FACOAE60,Fatty-acid-CoA thioesterase (hexanoate),h2o_c + hxcoa_c  -> h_c + hxa_c + coa_c ,3.1.2.-,31965.329999999998,3.7615
PLIPA1E120pp,"Phospholipase A1 (phosphatidylethanolamine, n-C12:0) (periplasm)",h2o_p + pe120_p  -> h_p + ddca_p + 2agpe120_p ,"3.1.1.32, 3.1.1.4",33162.049999999996,2.48
MALtex_f,Malate transport via diffusion (extracellular to periplasm),mal__L_e  -> mal__L_p ,,39959.4825,100000000
NO3tex_f,Nitrate transport via diffusion (extracellular to periplasm),no3_e  -> no3_p ,,39959.4825,100000000
3OAS141,3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:1),h_c + cddec5eACP_c + malACP_c  -> 3ocmrs7eACP_c + co2_c + ACP_c ,2.3.1.41,42612.02,0.725
3OAR121,3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:1),3ocddec5eACP_c + h_c + nadph_c  -> nadp_c + 3hcddec5eACP_c ,1.1.1.100,25559.58,0.59
CFAS160G,"Cyclopropane fatty acid synthase (Phosphatidylglycerol, n-C16:0)",2 amet_c + pg161_c  -> 2 h_c + 2 ahcys_c + cpg160_c ,2.1.1.79,43907.63999999999,0.067
URAt2pp,Uracil transport in via proton symport (periplasm),h_p + ura_p  -> h_c + ura_c ,,45307.63,22
FACOAE141,Fatty-acid-CoA thioesterase (tetradecenoate),tdecoa_c + h2o_c  -> h_c + ttdcea_c + coa_c ,3.1.2.-,31965.329999999998,39.26175
FACOAE161,Fatty-acid-CoA thioesterase (hexadecenoate),hdcoa_c + h2o_c  -> h_c + hdcea_c + coa_c ,3.1.2.-,31965.329999999998,39.26175
TTDCEAtexi,Tetradecenoate transport via facilitated irreversible diffusion (extracellular to periplasm),ttdcea_e  -> ttdcea_p ,,48540.00000000001,100000000
HDCEAtexi,Hexadecenoate transport via facilitated irreversible diffusion (extracellular to periplasm),hdcea_e  -> hdcea_p ,,48540.00000000001,100000000
ALAALAD,D-alanine-D-alanine dipeptidase,h2o_c + alaala_c  -> 2 ala__D_c ,3.4.13.22,21212.460000000003,22.85
2AGPEAT180,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:0),ocdca_c + atp_c + 2agpe180_c  -> ppi_c + pe180_c + amp_c ,2.3.1.40,80697.55,46.809013666666665
2AGPEAT181,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:1),ocdcea_c + atp_c + 2agpe181_c  -> pe181_c + ppi_c + amp_c ,6.2.1.20,80697.55,0.016
2AGPGAT140,2-acyl-glycerophospho-glycerol acyltransferase (n-C14:0),atp_c + ttdca_c + 2agpg140_c  -> ppi_c + pg140_c + amp_c ,6.2.1.20,80697.55,0.016
PLIPA1E181pp,"Phospholipase A1 (phosphatidylethanolamine, n-C18:1) (periplasm)",h2o_p + pe181_p  -> ocdcea_p + h_p + 2agpe181_p ,"3.1.1.32, 3.1.1.4",33162.049999999996,2.48
PLIPA1G180pp,"Phospholipase A1 (phosphatidylglycerol, n-C18:0) (periplasm)",h2o_p + pg180_p  -> h_p + 2agpg180_p + ocdca_p ,"3.1.1.32, 3.1.1.4",33162.049999999996,2.48
PLIPA1G181pp,"Phospholipase A1 (phosphatidylglycerol, n-C18:1) (periplasm)",h2o_p + pg181_p  -> 2agpg181_p + ocdcea_p + h_p ,"3.1.1.32, 3.1.1.4",33162.049999999996,2.48
ALAALAabcpp,D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm),alaala_p + atp_c + h2o_c  -> h_c + adp_c + pi_c + alaala_c ,,200513.095,22
HEXt2rpp_f,"Hexanoate transport via proton symport, reversible (periplasm)",h_p + hxa_p  -> h_c + hxa_c ,,47526.44,22
G3PEabcpp,Sn-glycerol-3-phosphoethanolamine transport via ABC system (periplasm),g3pe_p + atp_c + h2o_c  -> h_c + adp_c + pi_c + g3pe_c ,3.6.3.20,152677.46000000002,95.19583333333334
G3PCabcpp,Sn-glycerol-3-phosphocholine transport via ABC system (periplasm),atp_c + g3pc_p + h2o_c  -> h_c + g3pc_c + adp_c + pi_c ,3.6.3.20,152677.46000000002,95.19583333333334
2AGPGAT161,2-acyl-glycerophospho-glycerol acyltransferase (n-C16:1),hdcea_c + atp_c + 2agpg161_c  -> pg161_c + ppi_c + amp_c ,6.2.1.20,80697.55,0.016
AMPTASEPG,Aminopeptidase (pro-gly),progly_c + h2o_c  -> gly_c + pro__L_c ,3.4.11.2,63221.70749999999,92
PROGLYabcpp,L-Prolinylglycine (Pro-Gly) transport via ABC system (periplasm),atp_c + progly_p + h2o_c  -> h_c + progly_c + adp_c + pi_c ,,203425.91999999998,22
GTHRDabcpp,Reduced glutathione via ABC system (periplasm),atp_c + h2o_c + gthrd_p  -> h_c + gthrd_c + adp_c + pi_c ,3.6.3.-,192829.37000000005,95.19583333333334
2AGPG140tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0) transporter via facilitated diffusion (periplasm),2agpg140_p  -> 2agpg140_c ,,41654.65000000001,100000000
2AGPG160tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) transporter via facilitated diffusion (periplasm),2agpg160_p  -> 2agpg160_c ,,41654.65000000001,100000000
2AGPG141tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1) transporter via facilitated diffusion (periplasm),2agpg141_p  -> 2agpg141_c ,,41654.65000000001,100000000
2AGPG161tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1) transporter via facilitated diffusion (periplasm),2agpg161_p  -> 2agpg161_c ,,41654.65000000001,100000000
2AGPG181tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1) transporter via facilitated diffusion (periplasm),2agpg181_p  -> 2agpg181_c ,,41654.65000000001,100000000
2AGPEAT140,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:0),2agpe140_c + atp_c + ttdca_c  -> ppi_c + pe140_c + amp_c ,6.2.1.20,80697.55,0.016
2AGPEAT120,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C12:0),2agpe120_c + atp_c + ddca_c  -> pe120_c + ppi_c + amp_c ,6.2.1.20,80697.55,0.016
2AGPEAT161,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:1),hdcea_c + atp_c + 2agpe161_c  -> ppi_c + pe161_c + amp_c ,6.2.1.20,80697.55,0.016
2AGPEAT141,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:1),atp_c + ttdcea_c + 2agpe141_c  -> pe141_c + ppi_c + amp_c ,6.2.1.20,80697.55,0.016
2AGPGAT160,2-acyl-glycerophospho-glycerol acyltransferase (n-C16:0),atp_c + 2agpg160_c + hdca_c  -> ppi_c + pg160_c + amp_c ,6.2.1.20,80697.55,0.016
LPLIPAL2ATG140,"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C14:0)",2agpg140_c + pg140_c  -> g3pg_c + apg140_c ,3.1.1.5,38977.05,1016
LPLIPAL2ATG141,"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C14:1)",2agpg141_c + pg141_c  -> apg141_c + g3pg_c ,3.1.1.5,38977.05,1016
LPLIPAL2ATG160,"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C16:0)",2agpg160_c + pg160_c  -> g3pg_c + apg160_c ,3.1.1.5,38977.05,1016
LPLIPAL2ATG180,"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C18:0)",2agpg180_c + pg180_c  -> g3pg_c + apg180_c ,3.1.1.5,38977.05,1016
LPLIPAL2ATG161,"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C16:1)",pg161_c + 2agpg161_c  -> g3pg_c + apg161_c ,3.1.1.5,38977.05,1016
LPLIPAL2ATG181,"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C18:1)",2agpg181_c + pg181_c  -> g3pg_c + apg181_c ,3.1.1.5,38977.05,1016
CLPNS180pp_f,"Cardiolipin synthase (periplasmic, n-C18:0)",2 pg180_p  -> glyc_p + clpn180_p ,2.7.8.-,51226.469999999994,1
CLPNS181pp_f,"Cardiolipin synthase (periplasmic, n-C18:1)",2 pg181_p  -> glyc_p + clpn181_p ,2.7.8.-,51226.469999999994,1
PG161abcpp,"Phosphatidylglycerol transport via ABC system (n-C16:1, periplasm)",pg161_c + atp_c + h2o_c  -> h_c + adp_c + pi_c + pg161_p ,3.6.3.-,64458.75,95.19583333333334
PGP120abcpp,"Phosphatidylglycerophosphate transport via ABC system (n-C12:0, periplasm)",atp_c + h2o_c + pgp120_c  -> h_c + adp_c + pi_c + pgp120_p ,3.6.3.-,64458.75,95.19583333333334
PGP161abcpp,"Phosphatidylglycerophosphate transport via ABC system (n-C16:1, periplasm)",atp_c + pgp161_c + h2o_c  -> h_c + adp_c + pi_c + pgp161_p ,3.6.3.-,64458.75,95.19583333333334
PGP181abcpp,"Phosphatidylglycerophosphate transport via ABC system (n-C18:1, periplasm)",atp_c + h2o_c + pgp181_c  -> h_c + adp_c + pi_c + pgp181_p ,3.6.3.-,64458.75,95.19583333333334
PA120abcpp,"Phosphatidate transport via ABC system (n-C12:0, periplasm)",atp_c + h2o_c + pa120_c  -> h_c + adp_c + pi_c + pa120_p ,3.6.3.-,64458.75,95.19583333333334
PLIPA1G120pp,"Phospholipase A1 (phosphatidylglycerol, n-C12:0) (periplasm)",h2o_p + pg120_p  -> h_p + 2agpg120_p + ddca_p ,"3.1.1.32, 3.1.1.4",33162.049999999996,2.48
CLPNS120pp_f,"Cardiolipin synthase (periplasmic, n-C12:0)",2 pg120_p  -> clpn120_p + glyc_p ,2.7.8.-,51226.469999999994,1
ALPATE160pp,"Apolipoprotein N-acyltransferase (phosphatidylethanolamine, periplasm)",alpp_p + pe160_p  -> lpp_p + 2agpe160_p ,2.3.1.-,65369.42000000001,46.809013666666665
ALPATG160pp,"Apolipoprotein N-acyltransferase (phosphatidylglycerol, periplasm)",alpp_p + pg160_p  -> lpp_p + 2agpg160_p ,2.3.1.-,65369.42000000001,46.809013666666665
2AGPGAT120,2-acyl-glycerophospho-glycerol acyltransferase (n-C12:0),2agpg120_c + atp_c + ddca_c  -> pg120_c + ppi_c + amp_c ,6.2.1.20,80697.55,0.016
LPLIPAL2ATE120,"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C12:0)",2agpe120_c + pg120_c  -> apg120_c + g3pe_c ,3.1.1.5,38977.05,1016
LPLIPAL2ATE140,"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C14:0)",2agpe140_c + pg140_c  -> apg140_c + g3pe_c ,3.1.1.5,38977.05,1016
LPLIPAL2ATE160,"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C16:0)",2agpe160_c + pg160_c  -> apg160_c + g3pe_c ,3.1.1.5,38977.05,1016
LPLIPAL2ATE180,"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C18:0)",pg180_c + 2agpe180_c  -> g3pe_c + apg180_c ,3.1.1.5,38977.05,1016
LPLIPAL2ATE141,"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C14:1)",pg141_c + 2agpe141_c  -> apg141_c + g3pe_c ,3.1.1.5,38977.05,1016
LPLIPAL2ATE161,"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C16:1)",pg161_c + 2agpe161_c  -> apg161_c + g3pe_c ,3.1.1.5,38977.05,1016
LPLIPAL2ATE181,"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C18:1)",2agpe181_c + pg181_c  -> apg181_c + g3pe_c ,3.1.1.5,38977.05,1016
FACOAL141t2pp,Fatty-acid-CoA ligase (tetradecenoate transport via vectoral Co-A coupling),h_p + atp_c + ttdcea_p + coa_c  -> h_c + tdecoa_c + ppi_c + amp_c ,6.2.1.3,61550.724999999984,0.029
FACOAL161t2pp,Fatty-acid-CoA ligase (hexadecenoate transport via vectoral Co-A coupling),h_p + atp_c + coa_c + hdcea_p  -> h_c + hdcoa_c + ppi_c + amp_c ,6.2.1.3,61550.724999999984,0.029
PA160abcpp,"Phosphatidate transport via ABC system (n-C16:0, periplasm)",pa160_c + atp_c + h2o_c  -> h_c + adp_c + pi_c + pa160_p ,3.6.3.-,64458.75,95.19583333333334
PA181abcpp,"Phosphatidate transport via ABC system (n-C18:1, periplasm)",pa181_c + atp_c + h2o_c  -> h_c + adp_c + pi_c + pa181_p ,3.6.3.-,64458.75,95.19583333333334
