Reaction ID,Reaction name,Reaction equation,EC number,Enzyme molar mass [g/mol],Turnover number (kcat) [1/s]
GHMT2r_f,"Glycine hydroxymethyltransferase, reversible",ser__L_c + thf_c  -> mlthf_c + h2o_c + gly_c ,2.1.2.1,45315.27,12.285
DHORD2,Dihydoorotic acid dehydrogenase (quinone8),dhor__S_c + q8_c  -> q8h2_c + orot_c ,1.3.5.2,36773.46000000001,82
ADK4_f,Adentylate kinase (ITP),itp_c + amp_c  -> adp_c + idp_c ,2.7.4.3,23585.280000000002,842
INSK,Insosine kinase,atp_c + ins_c  -> h_c + adp_c + imp_c ,2.7.1.73,48447.28,14.804833333333335
ABTA,4-aminobutyrate transaminase,akg_c + 4abut_c  -> glu__L_c + sucsal_c ,2.6.1.19,45250.615,47.4
SSALx,Succinate-semialdehyde dehydrogenase (NAD),nad_c + h2o_c + sucsal_c  -> 2 h_c + succ_c + nadh_c ,1.2.1.16,49716.55,45.8
ASPT,L-aspartase,asp__L_c  -> nh4_c + fum_c ,4.3.1.1,52354.659999999996,180
SERD_L,L-serine deaminase,ser__L_c  -> nh4_c + pyr_c ,4.3.1.17,46836.02,436
THRD,L-threonine dehydrogenase,thr__L_c + nad_c  -> h_c + 2aobut_c + nadh_c ,1.1.1.103,38794.08499999999,135
KARA1_f,"Ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)",23dhmb_c + nadp_c  -> h_c + alac__S_c + nadph_c ,1.1.1.86,54067.45999999999,0.028
KARA2_f,Ketol-acid reductoisomerase (2-Acetolactate),h_c + 2ahbut_c + nadph_c  -> nadp_c + 23dhmp_c ,1.1.1.86,54067.45999999999,3.8
ACCOAC,Acetyl-CoA carboxylase,accoa_c + atp_c + hco3_c  -> h_c + adp_c + pi_c + malcoa_c ,6.3.4.14,134513.31,30.1
NADK,NAD kinase,nad_c + atp_c  -> h_c + adp_c + nadp_c ,2.7.1.23,32565.449999999997,90
ICHORS_copy2_f,Isochorismate synthase,chor_c  -> ichor_c ,5.4.4.2,48763.18,0.35
